Job ID,Job Title,Organization,Salary,Location,Closing Date
221530,OPSSC Team Lead (1),Ministry of Public and Business Service Delivery and Procurement,"$82,217.00  - $121,155.00 Per Year","Oshawa, Central Region; Kingston, Peterborough, East Region; North Bay, North Region; Toronto, Toronto Region; Guelph, London, St Catharines, West Region","Tuesday, November 12, 2024 11:59 pm EST"
221064,POCO IT Service Lead (1),Ministry of Public and Business Service Delivery and Procurement,"$1,628.82  - $2,104.14 Per Week","Toronto, Toronto Region","Tuesday, November 12, 2024 11:59 pm EST"
221771,Policy Advisor (1),Ministry for Seniors and Accessibility,"$76,231.00  - $109,842.00 Per Year","Toronto, Toronto Region","Tuesday, November 12, 2024 11:59 pm EST"
221847,"Probation and Parole Administrative Support Clerk (Full-time, Part-time and Bilingual - English/French) (4)",Ministry of the Solicitor General,$26.92  - $31.31 Per Hour,"Brockville, Cornwall, East Region","Tuesday, November 12, 2024 11:59 pm EST"
222231,Probation and Parole Officer (1),Ministry of the Solicitor General,"$1,506.53  - $1,861.87 Per Week","Cornwall, East Region","Tuesday, November 12, 2024 11:59 pm EST"
221506,Senior Aquatic Ecologist (1),Ministry of Natural Resources,"$1,718.77  - $2,206.92 Per Week","Peterborough, East Region","Tuesday, November 12, 2024 11:59 pm EST"
220450,Senior Data Analyst (1),Ministry of Infrastructure,"$82,217.00  - $121,155.00 Per Year","Toronto, Toronto Region","Tuesday, November 12, 2024 11:59 pm EST"
221780,"Senior Engineer, Drainage Design (1)",Ministry of Transportation,"$87,125.00  - $130,681.00 Per Year","St Catharines, West Region","Tuesday, November 19, 2024 11:59 pm EST"
220897,Senior I&IT Project Manager (1),Ministry of Natural Resources,"$88,496.00  - $141,350.00 Per Year","Peterborough, East Region; Sudbury, Sault Ste Marie, North Region; Toronto, Toronto Region; Guelph, West Region","Tuesday, November 12, 2024 11:59 pm EST"
218798,Senior Inventory Management Coordinator (1),Ministry of Health,"$76,231.00  - $109,842.00 Per Year","Concord, Central Region","Friday, November 8, 2024 11:59 pm EST"
222384,Water and Wastewater Operator (1),Ontario Clean Water Agency,$27.92  - $31.06 Per Hour,"Union, West Region","Tuesday, November 12, 2024 11:59 pm EST"
220417,Accommodation Officer (1),Ministry of Natural Resources and Forestry,"$1,121.49  - $1,346.22 Per Week","Peterborough, East Region","Friday, November 8, 2024 11:59 pm EST"
221485,Administrative Assistant (1),Ministry of Natural Resources,$26.92  - $31.31 Per Hour,"Thunder Bay, North Region","Friday, November 8, 2024 11:59 pm EST"
220933,Administrative Assistant – Bilingual (English/French) (1),Ministry of Long - Term Care,$26.92  - $31.31 Per Hour,"Barrie, Mississauga, Newmarket, Oshawa, Central Region; Kingston, Ottawa, East Region; North Bay, Sudbury, Sault Ste Marie, North Region; Toronto, Toronto Region; Chatham, Hamilton, London, Waterloo, West Region","Friday, November 8, 2024 11:59 pm EST"
221715,Ambulance Communications Officer (Irregularly Scheduled/On-Call) (8),Ministry of Health,$37.36  - $45.69 Per Hour,"Mississauga, Central Region","Friday, November 8, 2024 11:59 pm EST"
222329,Amended - President & Chief Executive Officer (1),Legal Aid Ontario,Not Available,"Toronto, Toronto Region","Friday, November 15, 2024 11:59 pm EST"
221192,Amended - Senior Policy Advisor (2),Ministry of Infrastructure,"$82,217.00  - $121,155.00 Per Year","Toronto, Toronto Region","Tuesday, November 19, 2024 11:59 pm EST"
222084,Application Review Coordinator (1),Ministry of Natural Resources,"$1,373.31  - $1,732.13 Per Week","Any City, Anywhere in Ontario","Friday, November 8, 2024 11:59 pm EST"
221660,Assistant Crown Attorney (1),Ministry of the Attorney General,Salary Commensurate With Legal Experience,"St Thomas, West Region","Friday, November 8, 2024 11:59 pm EST"
222239,Assistant Crown Attorney (1),Ministry of the Attorney General,Salary Commensurate With Legal Experience,"Cobourg, East Region","Friday, November 8, 2024 11:59 pm EST"
221464,Wildland Fire Fighter - Ontario FireRanger (1),Ministry of Natural Resources,$25.38  - $32.43 Per Hour,"Any City, Anywhere in Ontario","Tuesday, April 15, 2025 11:59 pm EDT"
221654,Amended - Probation and Parole Officer (3),Ministry of the Solicitor General,"$1,506.53  - $1,861.87 Per Week","Don Mills, Scarborough, Toronto Region","Friday, November 15, 2024 11:59 pm EST"
222434,Business Operational Coordinator (1),Ministry of Public and Business Service Delivery and Procurement,$29.53  - $34.75 Per Hour,"Kingston, East Region","Thursday, November 14, 2024 11:59 pm EST"
222390,Classroom Assistant Blind Program (1),Ministry of Education,$24.61  - $27.14 Per Hour,"Brantford, West Region","Friday, November 15, 2024 11:59 pm EST"
222164,Collection Officer (1),Ministry of Finance,$29.53  - $34.75 Per Hour,"Oshawa, Central Region","Friday, November 15, 2024 11:59 pm EST"
218848,"Coordinator, Secretariat (1)","Ministry of Agriculture, Food and Agribusiness","$71,563.00  - $100,052.00 Per Year","Guelph, West Region","Friday, November 15, 2024 11:59 pm EST"
221558,Court and Client Representative (permanent full-time employment) - Bilingual (English/French) (8),Ministry of the Attorney General,$29.53  - $34.75 Per Hour,"Ottawa, East Region","Friday, November 15, 2024 11:59 pm EST"
222819,Deployed System Coordinator (1),Ministry of the Solicitor General,"$1,688.15  - $2,084.56 Per Week","Prescott, East Region","Friday, November 15, 2024 11:59 pm EST"
219531,Executive Assistant (1),Ministry of Health,"$71,563.00  - $100,052.00 Per Year","Kingston, East Region; Toronto, Toronto Region","Friday, November 15, 2024 11:59 pm EST"
221375,Food Services Supervisor (1),Ministry of the Solicitor General,"$1,282.88  - $1,529.42 Per Week","Thunder Bay, North Region","Friday, November 15, 2024 11:59 pm EST"
221807,Assistant Crown Attorney (2),Ministry of the Attorney General,Salary Commensurate With Legal Experience,"Cornwall, East Region","Friday, November 8, 2024 11:59 pm EST"
222134,Assistant Crown Attorney (3),Ministry of the Attorney General,Salary Commensurate With Legal Experience,"Barrie, Central Region","Friday, November 8, 2024 11:59 pm EST"
222632,"Assistant Deputy Minister, Planning and Growth (1)",Ministry of Municipal Affairs and Housing,"$192,199.00  - $242,139.00 Per Year","Toronto, Toronto Region","Friday, November 8, 2024 11:59 pm EST"
220821,Assistant Office Manager (1),Ministry of the Solicitor General,$32.11  - $38.34 Per Hour,"Hamilton, West Region","Friday, November 8, 2024 11:59 pm EST"
220314,Assistant Trial Coordinator (6),Ministry of the Attorney General,$28.14  - $32.82 Per Hour,"Newmarket, Central Region","Friday, November 8, 2024 11:59 pm EST"
222321,"Associate Director, IT Infrastructure & Technical Support Services (1)",Workplace Safety and Insurance Appeals Tribunal,Not Available,"Toronto, Toronto Region","Friday, November 8, 2024 11:59 pm EST"
221381,Business Support Analyst (1),Ministry of the Attorney General,"$58,996.00  - $80,232.00 Per Year","Peterborough, East Region","Friday, November 8, 2024 11:59 pm EST"
